sample,count
gold_subject_000322_atlas_in_t1_copy2,3
gold_subject_000322_atlas_in_t1_copy3,3
gold_subject_000322_t1_in_atlas_copy1,2
gold_subject_000322_t1_in_atlas_copy2,2
gold_subject_000322_t1_in_atlas_copy3,3
gold_subject_000325_atlas_in_t1_copy1,2
gold_subject_000325_atlas_in_t1_copy2,3
gold_subject_000325_atlas_in_t1_copy3,3
gold_subject_000325_t1_in_atlas_copy1,3
gold_subject_000325_t1_in_atlas_copy2,2
gold_subject_000325_t1_in_atlas_copy3,2
gold_subject_000331_atlas_in_t1_copy1,2
gold_subject_000331_atlas_in_t1_copy2,3
gold_subject_000331_atlas_in_t1_copy3,3
gold_subject_000331_t1_in_atlas_copy1,3
gold_subject_000331_t1_in_atlas_copy2,2
gold_subject_000331_t1_in_atlas_copy3,3
gold_subject_000341_atlas_in_t1_copy1,3
gold_subject_000341_atlas_in_t1_copy2,3
gold_subject_000341_atlas_in_t1_copy3,3
gold_subject_000341_t1_in_atlas_copy1,3
gold_subject_000341_t1_in_atlas_copy2,3
gold_subject_000341_t1_in_atlas_copy3,3
gold_subject_000343_atlas_in_t1_copy1,3
gold_subject_000343_atlas_in_t1_copy2,3
gold_subject_000343_atlas_in_t1_copy3,3
gold_subject_000343_t1_in_atlas_copy1,3
gold_subject_000343_t1_in_atlas_copy2,3
gold_subject_000343_t1_in_atlas_copy3,2
gold_subject_000344_atlas_in_t1_copy1,3
gold_subject_000344_atlas_in_t1_copy2,3
gold_subject_000344_atlas_in_t1_copy3,3
gold_subject_000344_t1_in_atlas_copy1,3
gold_subject_000344_t1_in_atlas_copy2,3
gold_subject_000344_t1_in_atlas_copy3,3
gold_subject_000346_atlas_in_t1_copy1,2
gold_subject_000346_atlas_in_t1_copy2,3
gold_subject_000346_atlas_in_t1_copy3,3
gold_subject_000346_t1_in_atlas_copy1,2
gold_subject_000346_t1_in_atlas_copy2,3
gold_subject_000346_t1_in_atlas_copy3,3
gold_subject_000353_atlas_in_t1_copy1,3
gold_subject_000353_atlas_in_t1_copy2,3
gold_subject_000353_atlas_in_t1_copy3,3
gold_subject_000353_t1_in_atlas_copy1,3
gold_subject_000353_t1_in_atlas_copy2,3
gold_subject_000353_t1_in_atlas_copy3,3
gold_subject_000363_atlas_in_t1_copy1,3
gold_subject_000363_atlas_in_t1_copy2,3
gold_subject_000363_atlas_in_t1_copy3,3
gold_subject_000363_t1_in_atlas_copy1,3
gold_subject_000363_t1_in_atlas_copy2,2
gold_subject_000363_t1_in_atlas_copy3,3
gold_subject_000365_atlas_in_t1_copy1,3
gold_subject_000365_atlas_in_t1_copy2,3
gold_subject_000365_atlas_in_t1_copy3,3
gold_subject_000365_t1_in_atlas_copy1,3
gold_subject_000365_t1_in_atlas_copy2,2
gold_subject_000365_t1_in_atlas_copy3,2
gold_subject_000376_atlas_in_t1_copy1,3
gold_subject_000376_atlas_in_t1_copy2,3
gold_subject_000376_atlas_in_t1_copy3,3
gold_subject_000376_t1_in_atlas_copy1,3
gold_subject_000376_t1_in_atlas_copy2,2
gold_subject_000376_t1_in_atlas_copy3,3
gold_subject_000380_atlas_in_t1_copy1,3
gold_subject_000380_atlas_in_t1_copy2,2
gold_subject_000380_atlas_in_t1_copy3,3
gold_subject_000380_t1_in_atlas_copy1,3
gold_subject_000380_t1_in_atlas_copy2,3
gold_subject_000380_t1_in_atlas_copy3,3
gold_subject_000386_atlas_in_t1_copy1,3
gold_subject_000386_atlas_in_t1_copy2,3
gold_subject_000386_atlas_in_t1_copy3,2
gold_subject_000386_t1_in_atlas_copy1,3
gold_subject_000386_t1_in_atlas_copy2,3
gold_subject_000386_t1_in_atlas_copy3,3
gold_subject_000389_atlas_in_t1_copy1,3
gold_subject_000389_atlas_in_t1_copy2,2
gold_subject_000389_atlas_in_t1_copy3,3
gold_subject_000389_t1_in_atlas_copy1,3
gold_subject_000389_t1_in_atlas_copy2,2
gold_subject_000389_t1_in_atlas_copy3,3
gold_subject_000398_atlas_in_t1_copy1,3
gold_subject_000398_atlas_in_t1_copy2,3
gold_subject_000398_atlas_in_t1_copy3,3
gold_subject_000398_t1_in_atlas_copy1,3
gold_subject_000398_t1_in_atlas_copy2,3
gold_subject_000398_t1_in_atlas_copy3,3
gold_subject_000405_atlas_in_t1_copy1,3
gold_subject_000405_atlas_in_t1_copy2,2
gold_subject_000405_atlas_in_t1_copy3,3
gold_subject_000405_t1_in_atlas_copy1,3
gold_subject_000405_t1_in_atlas_copy2,3
gold_subject_000405_t1_in_atlas_copy3,2
gold_subject_000412_atlas_in_t1_copy1,2
gold_subject_000412_atlas_in_t1_copy2,3
gold_subject_000412_atlas_in_t1_copy3,3
gold_subject_000412_t1_in_atlas_copy1,2
gold_subject_000412_t1_in_atlas_copy2,3
gold_subject_000412_t1_in_atlas_copy3,3
gold_subject_000422_atlas_in_t1_copy1,3
gold_subject_000422_atlas_in_t1_copy2,3
gold_subject_000422_atlas_in_t1_copy3,2
gold_subject_000422_t1_in_atlas_copy1,3
gold_subject_000422_t1_in_atlas_copy2,3
gold_subject_000422_t1_in_atlas_copy3,2
gold_subject_000423_atlas_in_t1_copy1,3
gold_subject_000423_atlas_in_t1_copy2,3
gold_subject_000423_atlas_in_t1_copy3,3
gold_subject_000423_t1_in_atlas_copy1,3
gold_subject_000423_t1_in_atlas_copy2,3
gold_subject_000423_t1_in_atlas_copy3,3
gold_subject_000424_atlas_in_t1_copy1,2
gold_subject_000424_atlas_in_t1_copy2,3
gold_subject_000424_atlas_in_t1_copy3,3
gold_subject_000424_t1_in_atlas_copy1,3
gold_subject_000424_t1_in_atlas_copy2,3
gold_subject_000424_t1_in_atlas_copy3,2
gold_subject_000430_atlas_in_t1_copy1,3
gold_subject_000430_atlas_in_t1_copy2,3
gold_subject_000430_atlas_in_t1_copy3,3
gold_subject_000430_t1_in_atlas_copy1,3
gold_subject_000430_t1_in_atlas_copy2,3
gold_subject_000430_t1_in_atlas_copy3,3
gold_subject_000434_atlas_in_t1_copy1,2
gold_subject_000434_atlas_in_t1_copy2,3
gold_subject_000434_atlas_in_t1_copy3,2
gold_subject_000434_t1_in_atlas_copy1,3
gold_subject_000434_t1_in_atlas_copy2,3
gold_subject_000434_t1_in_atlas_copy3,3
gold_subject_000447_atlas_in_t1_copy1,3
gold_subject_000447_atlas_in_t1_copy2,3
gold_subject_000447_atlas_in_t1_copy3,2
gold_subject_000447_t1_in_atlas_copy1,3
gold_subject_000447_t1_in_atlas_copy2,3
gold_subject_000447_t1_in_atlas_copy3,3
gold_subject_000456_atlas_in_t1_copy1,2
gold_subject_000456_atlas_in_t1_copy2,3
gold_subject_000456_atlas_in_t1_copy3,3
gold_subject_000456_t1_in_atlas_copy1,3
gold_subject_000456_t1_in_atlas_copy2,3
gold_subject_000456_t1_in_atlas_copy3,3
gold_subject_000457_atlas_in_t1_copy1,3
gold_subject_000457_atlas_in_t1_copy2,3
gold_subject_000457_atlas_in_t1_copy3,3
gold_subject_000457_t1_in_atlas_copy1,3
gold_subject_000457_t1_in_atlas_copy2,3
gold_subject_000457_t1_in_atlas_copy3,3
gold_subject_000460_atlas_in_t1_copy1,3
gold_subject_000460_atlas_in_t1_copy2,3
gold_subject_000460_atlas_in_t1_copy3,3
